location;prix;lieu
Location Appartement 3 Pices - Mermoz-Sacr Coeur;500 000 CFA;Mermoz-Sacr Coeur, Dakar
Location Appartement 4pices - Mermoz Sacr Coeur;35 000 CFA;Mermoz-Sacr Coeur, Dakar
Grande promo Appartements F3 - Fass Delorme;55 000 000 CFA;Fass, Dakar
Grande promo Appartements F5 - Fass Delorme;110 000 000 CFA;Fass, Dakar
Location Grand studio avec jardin - Ouest Foire;125 000 CFA;Sicap Libert, Dakar
Location appartement  2pices - HLM Grand Yoff;175 000 CFA;Grand Yoff, Dakar
Location d'appartements 3pices - HLM grand Mdin...;200 000 CFA;HLM, Dakar
Location Appartements  3pices - Grand Mdine;200 000 CFA;Grand Yoff, Dakar
Location Appartement  4pices - Yoff;225 000 CFA;Yoff, Dakar
Location appartement 3pices - Mermoz Sacr-Cur;275 000 CFA;Mermoz-Sacr Coeur, Dakar
Location  Appartement  4pices Ngor;350 000 CFA;Ngor, Dakar
Location appartement  3pices - Cit Keur Gorgui;35 000 CFA;Sngal
Location appartement - Mermoz-Sacr Cur;55 000 CFA;Mermoz-Sacr Coeur, Dakar
Location appartement 1 pices - Sicap Libert 6;175 000 CFA;Sicap Libert, Dakar
Location Appartements 4 pices Keur Gorgui;85 000 CFA;Mermoz-Sacr Coeur, Dakar
Location appartements 13 pices - Sipres;1 000 000 CFA;Sicap Libert, Dakar
Location appartement 3 pices - Yoff;100 000 CFA;Yoff, Dakar
Location appartement - Yoff;300 000 CFA;Yoff, Dakar
Location appartement 4 pices - cit Keur Gorgui;650 000 CFA;Mermoz-Sacr Coeur, Dakar
Location appartement 4 pices - Mermoz- Sacr Coeu...;535 000 CFA;Mermoz-Sacr Coeur, Dakar
Location appartements 1 pice - Libert 6;35 000 CFA;Sicap Libert, Dakar
Location appartement 5 pices - Mermoz- Sacr Coeu...;450 000 CFA;Mermoz-Sacr Coeur, Dakar
Location Appartements 3 pices - Mermoz Sacr Coeu...;50 000 CFA;Mermoz-Sacr Coeur, Dakar
Location appartement 3 pices - Mermoz - Sacr Coe...;500 000 CFA;Mermoz-Sacr Coeur, Dakar
Location appartement 4 pices - Mermoz-Sacr Cur;80 000 CFA;Mermoz-Sacr Coeur, Dakar
Location Appartement 2 Pices - Fann;750 000 CFA;Fann, Dakar
Location Appartement 4 pices - Saly;175 000 CFA;Saly
Location Appartement F3 - Saly;175 000 CFA;Saly
Location Appartement 2 pices - Sicap Foire VDN;265 000 CFA;Sicap Libert, Dakar
Location appartement 4 pices - Mamelles;500 000 CFA;Ouakam, Dakar
Location Appartement 5 pices - Ouakam;350 000 CFA;Ouakam, Dakar
Location appartement 3 pices - Grand Yoff;200 000 CFA;Grand Yoff, Dakar
Location d'appartement 4 pices - Ouakam;590 000 CFA;Ouakam, Dakar
Location appartement 4 pices - Almadies;1 750 000 CFA;Ngor, Dakar
Location appartement 3 pices - Dieuppeul-Derkl;200 000 CFA;Dieuppeul-Derkl, Dakar
Location appartement  4pices Ouakam;300 000 CFA;Ouakam, Dakar
Location appartement meubl - Keur Gorgui;35 000 CFA;Sngal
Location appartement  3pices Yoff;210 000 CFA;Yoff, Dakar
Cherche - Appartement 2 pices - Mermoz Sacr Coeu...;110 000 CFA;Mermoz-Sacr Coeur, Dakar
Location Appartement 3pices - Mermoz-Sacr Coeur;35 000 CFA;Mermoz-Sacr Coeur, Dakar
Location appartement 1 pice - Mdina;90 000 CFA;Medina, Dakar
Location studio meubl climatis Patte d'oie;15 000 CFA;Hann Bel-Air, Dakar
Location Appartement 3 pices - Mamelles;250 000 CFA;Ouakam, Dakar
Location Appartements neufs F4 - Yoff;325 000 CFA;Yoff, Dakar
Location appartement 2 pices - Sicap Libert;30 000 CFA;Sicap Libert, Dakar
Location appartement 2 pices - Ouakam;35 000 CFA;Ouakam, Dakar
Location appartement 3 pices - Dakar;300 000 CFA;Dakar
Location bel appartement meubl - Ouest Foire;300 000 CFA;Yoff, Dakar
Joli appartement  louer - Petit Mbao;150 000 CFA;Pikine
Location appartement 3 pices - Ouakam;25 000 CFA;Ouakam, Dakar
Location et vente appartement F3 - Corniche VDN pl...;28 000 000 CFA;Guediawaye, Dakar
Location appartement 03 pices - Sicap Libert;350 000 CFA;Sicap Libert, Dakar
Location Appartement 2 pices - Point E;250 000 CFA;Point E, Dakar
Location appartement 4 pices - Dakar Plateau;375 000 CFA;Dakar Plateau, Dakar
Location Appartement 3 pices - Dakar Plateau;550 000 CFA;Dakar Plateau, Dakar
Location Appartement 2 pices - Mdina;250 000 CFA;Medina, Dakar
