location;prix;lieu
Libert 6 - appartement, studioNombre de chambres 1;150 000 FCFA;Libert 6
Vdn - appartementNombre de chambres 3;300 000 FCFA;VDN
Grand appartement rdcNombre de chambres 3;450 000 FCFA;Mamelles
Villa  louer aux mamellesNombre de chambres 3;450 000 FCFA;Mamelles
Ouest foire - appartementNombre de chambres 2;250 000 FCFA;Ouest Foire
Appartement meubl f3  saly velingaraNombre de chambres 3;200 000 FCFA;Saly Portudal
Hann maristes - appartementNombre de chambres 2;150 000 FCFA;Hann Maristes
Cit keur gorgui - appartementNombre de chambres 3;300 000 FCFA;Cit Keur gorgui
Appartements de types f4  louer sis point eNombre de chambres 3;1 500 000 FCFA;Point-E
Appartements a louer sis point eNombre de chambres 3;1 800 000 FCFA;Point-E
Appartement neuf de standing sur cit keur gorguiNombre de chambres 3;700 000 FCFA;Cit Keur gorgui
Appartement ouest foire dakarNombre de chambres 2;166 000 FCFA;Ouest Foire
Mini studio meubl  louerNombre de chambres 1;200 000 FCFA;Mdina
Chambre  louerNombre de chambres 3;80 000 FCFA;Sicap Sacr Coeur
Appartement sis dakar villa spdi nord zac mbaoNombre de chambres 3;1 000 000 FCFA;Diamniadio
Grand-yoff - appartementNombre de chambres 2;200 000 FCFA;Grand-Yoff
Mamelles - appartementNombre de chambres 3;450 000 FCFA;Mamelles
Studios  louer proche de la vdnNombre de chambres 1;150 000 FCFA;Ouest Foire
Appartements neufs  louerNombre de chambres 2;250 000 FCFA;Ouest Foire
Joli appartement meubl f4 aux almadiesNombre de chambres 3;1 700 000 FCFA;Almadies
Appartements meubls au rdc et au 1er tageNombre de chambres 3;1 350 000 FCFA;Mermoz Sacr-Coeur
Appartement neuf de haut standingNombre de chambres 3;777 000 FCFA;Mamelles
Appartement  louerNombre de chambres 2;210 000 FCFA;Amiti
Studio neufNombre de chambres 1;200 000 FCFA;Djily Mbaye
Appartement avec piscine  mermozNombre de chambres 3;1 900 000 FCFA;Mermoz Sacr-Coeur
Appartements lumineuxNombre de chambres 3;550 000 FCFA;Ngor
Appartement f3  yoff virageNombre de chambres 3;800 000 FCFA;Virage
Spacieux appartement avec piscineNombre de chambres 3;1 400 000 FCFA;Almadies
Appartement f4 neuf en bordure de route  louer yoff apecsyNombre de chambres 3;250 000 FCFA;Yoff
Mini studio neuf  louer  ouest foireNombre de chambres 1;90 000 FCFA;Yoff
Mini studio neuf  louer  ouest foireNombre de chambres 1;90 000 FCFA;Yoff
YoffNombre de chambres 2;250 000 FCFA;Yoff
Bel appartement standingNombre de chambres 3;1 500 000 FCFA;Virage
Bel appartement a louer au virageNombre de chambres 3;350 000 FCFA;Virage
Bel appartement spacieux a louer a ouest foireNombre de chambres 3;250 000 FCFA;Yoff
Bel appartement spacieux a louer a nord foireNombre de chambres 2;180 000 FCFA;Yoff
Bel appartement spacieux a louer a nord foireNombre de chambres 2;180 000 FCFA;Yoff
Bel appartement spacieux a louer a nord foireNombre de chambres 2;180 000 FCFA;Yoff
Bel appartement spacieux a louer a nord foireNombre de chambres 2;180 000 FCFA;Yoff
Appartement neuf ngor almadiesNombre de chambres 3;350 000 FCFA;Almadies
